Fecha,Equipo,Tipo,Jugador,Otro,Monto,Descripcion
Sin Fecha,Alcatamy eSports By,Blindaje,Comesaña,-,0,Blindaje
20/08/2025,Alcatamy eSports By,Compra,Arambarri,Morenazos FC,11292420,Compra a Morenazos FC
Sin Fecha,Alcatamy eSports By,Compra,Bryan Gil,LALIGA,3378799,Compra a LALIGA
Sin Fecha,Alcatamy eSports By,Compra,Ilaix Moriba,LALIGA,5256859,Compra a LALIGA
02/12/2025,Alcatamy eSports By,Compra,Mbappé,Visite La Manga FC,264000000,Compra a Visite La Manga FC
31/10/2025,Alcatamy eSports By,Compra,Mouriño,LALIGA,21750231,Compra a LALIGA
17/09/2025,Alcatamy eSports By,Compra,Suazo,LALIGA,6150212,Compra a LALIGA
03/10/2025,Alcatamy eSports By,Compra,Szczesny,LALIGA,6195323,Compra a LALIGA
14/08/2025,Alcatamy eSports By,Compra,Tárrega,LALIGA,11750231,Compra a LALIGA
Sin Fecha,Alcatamy eSports By,Venta,Asencio,LALIGA,5393057,Venta a LALIGA
30/08/2025,Alcatamy eSports By,Venta,Pau López,LALIGA,7783735,Venta a LALIGA
22/09/2025,Pablinistan FC,Jornada,-,Premios,8600000,Jornada 5
28/10/2025,Pablinistan FC,Jornada,-,Premios,8600000,Jornada 10
10/10/2025,GOLENCIERRO FC,Compra,Ez Abde,Alcatamy eSports By,16721064,Compra a Alcatamy eSports By
05/11/2025,GOLENCIERRO FC,Compra,Rafa Mir,LALIGA,17005000,Compra a LALIGA
20/08/2025,GOLENCIERRO FC,Once Ideal,-,Premios,200000,11 Ideal
26/11/2025,GOLENCIERRO FC,Venta,C. Alvarez,LALIGA,11951186,Venta a LALIGA
18/11/2025,Morenazos FC,Compra,Bartra,LALIGA,29200000,Compra a LALIGA
16/09/2025,Morenazos FC,Compra,Dendoncker,LALIGA,6377160,Compra a LALIGA
10/08/2025,Morenazos FC,Compra,F.,Jong de LALIGA,51029442,Compra a Jong de LALIGA
10/09/2025,Morenazos FC,Compra,Mbappé,Visite La Manga FC,167000000,Compra a Visite La Manga FC
12/08/2025,Morenazos FC,Compra,Odriozola,LALIGA,1965954,Compra a LALIGA
Sin Fecha,Pablinistan FC,Compra,Bartra,Morenazos FC,30746750,Compra a Morenazos FC
Sin Fecha,Pablinistan FC,Compra,F. Calero,GOLENCIERRO FC,1112770,Compra a GOLENCIERRO FC
28/11/2025,Pablinistan FC,Compra,Trent,LALIGA,21040452,Compra a LALIGA
Sin Fecha,Pablinistan FC,Venta,Ounahi,LALIGA,7144160,Venta a LALIGA
16/10/2025,Vigar24,Blindaje,Catena,-,0,Blindaje
28/10/2025,Vigar24,Blindaje,Catena,-,0,Blindaje
26/09/2025,Vigar24,Compra,Bellingham,LALIGA,80000001,Compra a LALIGA
14/11/2025,Vigar24,Compra,C. Romero,Morenazos FC,20354311,Compra a Morenazos FC
02/12/2025,Vigar24,Compra,Chavarría,GOLENCIERRO FC,19056522,Compra a GOLENCIERRO FC
25/11/2025,Vigar24,Compra,J. M. Giménez,GOLENCIERRO FC,26657111,Compra a GOLENCIERRO FC
22/10/2025,Vigar24,Compra,Álvaro García,Morenazos FC,26806713,Compra a Morenazos FC
03/09/2025,Vigar24,Venta,Maroan,LALIGA,6387634,Venta a LALIGA
06/08/2025,Vigar24,Venta,Sucic,LALIGA,10268041,Venta a LALIGA
16/11/2025,Visite La Manga FC,Compra,Brais Méndez,GOLENCIERRO FC,17770814,Compra a GOLENCIERRO FC
24/11/2025,Visite La Manga FC,Compra,Álvaro,LALIGA,2569941,Compra a LALIGA
01/09/2025,Alcatamy eSports By,Compra,Aarón,LALIGA,7257212,Compra a LALIGA
01/09/2025,Visite La Manga FC,Jornada,-,Premios,6500000,Jornada 3
28/10/2025,Visite La Manga FC,Jornada,-,Premios,6500000,Jornada 10
01/09/2025,Morenazos FC,Compra,A. J. Morales,LALIGA,5234140,Compra a LALIGA
01/09/2025,Pablinistan FC,Venta,Juan Iglesias,LALIGA,2620532,Venta a LALIGA
01/09/2025,Vigar24,Venta,Dani Olmo,LALIGA,44961309,Venta a LALIGA
01/10/2025,Alcatamy eSports By,Once Ideal,-,Premios,100000,11 Ideal
04/11/2025,Alcatamy eSports By,Once Ideal,-,Premios,100000,11 Ideal
10/11/2025,Alcatamy eSports By,Once Ideal,-,Premios,100000,11 Ideal
16/09/2025,Alcatamy eSports By,Once Ideal,-,Premios,100000,11 Ideal
20/08/2025,Alcatamy eSports By,Once Ideal,-,Premios,100000,11 Ideal
25/11/2025,Alcatamy eSports By,Once Ideal,-,Premios,100000,11 Ideal
28/10/2025,Alcatamy eSports By,Once Ideal,-,Premios,100000,11 Ideal
01/10/2025,Alcatamy eSports By,Jornada,-,Premios,9100000,Jornada 7
01/10/2025,GOLENCIERRO FC,Jornada,-,Premios,7400000,Jornada 7
01/10/2025,Morenazos FC,Jornada,-,Premios,5600000,Jornada 7
10/11/2025,Morenazos FC,Jornada,-,Premios,5600000,Jornada 12
01/10/2025,Pablinistan FC,Jornada,-,Premios,8500000,Jornada 7
01/10/2025,Vigar24,Jornada,-,Premios,5100000,Jornada 7
01/10/2025,Visite La Manga FC,Jornada,-,Premios,6300000,Jornada 7
01/10/2025,GOLENCIERRO FC,Once Ideal,-,Premios,100000,11 Ideal
16/09/2025,GOLENCIERRO FC,Once Ideal,-,Premios,100000,11 Ideal
22/09/2025,GOLENCIERRO FC,Once Ideal,-,Premios,100000,11 Ideal
25/11/2025,GOLENCIERRO FC,Once Ideal,-,Premios,100000,11 Ideal
26/08/2025,GOLENCIERRO FC,Once Ideal,-,Premios,100000,11 Ideal
26/09/2025,GOLENCIERRO FC,Once Ideal,-,Premios,100000,11 Ideal
01/11/2025,Alcatamy eSports By,Compra,A. Moleiro,Pablinistan FC,28494328,Compra a Pablinistan FC
01/11/2025,GOLENCIERRO FC,Compra,Brais Méndez,LALIGA,13000500,Compra a LALIGA
01/11/2025,GOLENCIERRO FC,Compra,Álvaro Nuñez,LALIGA,12000000,Compra a LALIGA
01/11/2025,GOLENCIERRO FC,Venta,Areso,LALIGA,13570195,Venta a LALIGA
01/12/2025,Alcatamy eSports By,Venta,Rashford,LALIGA,96610862,Venta a LALIGA
01/12/2025,Visite La Manga FC,Compra,Budimir,LALIGA,16437993,Compra a LALIGA
01/12/2025,Visite La Manga FC,Compra,Denis Suárez,LALIGA,631983,Compra a LALIGA
02/09/2025,Morenazos FC,Compra,Dani Calvo,LALIGA,1296487,Compra a LALIGA
02/09/2025,Morenazos FC,Compra,Darder,LALIGA,15694649,Compra a LALIGA
02/09/2025,Morenazos FC,Compra,F. Calero,LALIGA,1517486,Compra a LALIGA
02/09/2025,Morenazos FC,Compra,Febas,LALIGA,1260742,Compra a LALIGA
02/09/2025,Morenazos FC,Compra,Nacho Vidal,LALIGA,2324533,Compra a LALIGA
02/09/2025,Morenazos FC,Venta,Diego López,LALIGA,18648781,Venta a LALIGA
02/09/2025,Pablinistan FC,Blindaje,Gueye,-,0,Blindaje
02/09/2025,Vigar24,Venta,Brahim,LALIGA,21568481,Venta a LALIGA
02/10/2025,GOLENCIERRO FC,Venta,Dendoncker,LALIGA,5513228,Venta a LALIGA
02/10/2025,Morenazos FC,Blindaje,Sergio Herrera,-,0,Blindaje
06/11/2025,Morenazos FC,Blindaje,Sergio Herrera,-,0,Blindaje
11/09/2025,Morenazos FC,Blindaje,Sergio Herrera,-,0,Blindaje
02/10/2025,Morenazos FC,Compra,C. Alvarez,Alcatamy eSports By,7006164,Compra a Alcatamy eSports By
02/10/2025,Morenazos FC,Compra,C. Romero,LALIGA,14000000,Compra a LALIGA
02/10/2025,Vigar24,Blindaje,Ferran,-,0,Blindaje
16/09/2025,Vigar24,Blindaje,Ferran,-,0,Blindaje
02/10/2025,Vigar24,Compra,André Silva,Pablinistan FC,7963155,Compra a Pablinistan FC
02/10/2025,Vigar24,Compra,B. Mayoral,LALIGA,5200000,Compra a LALIGA
02/10/2025,Vigar24,Compra,Catena,Morenazos FC,27818676,Compra a Morenazos FC
02/10/2025,Vigar24,Compra,F.,Jong de LALIGA,54710854,Compra a Jong de LALIGA
02/10/2025,Vigar24,Compra,Juan Iglesias,LALIGA,3200000,Compra a LALIGA
02/10/2025,Vigar24,Compra,Marcos Llorente,Visite La Manga FC,39962224,Compra a Visite La Manga FC
02/10/2025,Vigar24,Venta,Javi Guerra,LALIGA,23998312,Venta a LALIGA
02/10/2025,Vigar24,Venta,Lo Celso,LALIGA,79363877,Venta a LALIGA
02/11/2025,Alcatamy eSports By,Compra,Vivian,LALIGA,32678825,Compra a LALIGA
02/11/2025,Pablinistan FC,Compra,Marcao,LALIGA,689998,Compra a LALIGA
02/12/2025,Alcatamy eSports By,Blindaje,Edu Expósito,-,0,Blindaje
04/11/2025,Alcatamy eSports By,Blindaje,Edu Expósito,-,0,Blindaje
18/11/2025,Alcatamy eSports By,Blindaje,Edu Expósito,-,0,Blindaje
22/09/2025,Alcatamy eSports By,Blindaje,Edu Expósito,-,0,Blindaje
22/10/2025,Alcatamy eSports By,Blindaje,Edu Expósito,-,0,Blindaje
28/10/2025,Alcatamy eSports By,Blindaje,Edu Expósito,-,0,Blindaje
02/12/2025,Alcatamy eSports By,Venta,De Frutos,LALIGA,49984702,Venta a LALIGA
02/12/2025,Alcatamy eSports By,Jornada,-,Premios,6900000,Jornada 14
02/12/2025,GOLENCIERRO FC,Jornada,-,Premios,8400000,Jornada 14
02/12/2025,Morenazos FC,Jornada,-,Premios,4000000,Jornada 14
02/12/2025,Pablinistan FC,Jornada,-,Premios,6000000,Jornada 14
02/12/2025,Vigar24,Jornada,-,Premios,8900000,Jornada 14
02/12/2025,Visite La Manga FC,Jornada,-,Premios,9400000,Jornada 14
02/12/2025,GOLENCIERRO FC,Compra,M. Aguado,LALIGA,1370698,Compra a LALIGA
02/12/2025,GOLENCIERRO FC,Compra,Moi Gómez,LALIGA,2157923,Compra a LALIGA
02/12/2025,GOLENCIERRO FC,Compra,Rondón,LALIGA,610371,Compra a LALIGA
02/12/2025,GOLENCIERRO FC,Compra,Álvaro Nuñez,Morenazos FC,16742884,Compra a Morenazos FC
02/12/2025,GOLENCIERRO FC,Venta,A. Liso,LALIGA,6624895,Venta a LALIGA
02/12/2025,Pablinistan FC,Compra,Bellingham,Vigar24,192126634,Compra a Vigar24
02/12/2025,Pablinistan FC,Compra,Lejeune,Vigar24,31172679,Compra a Vigar24
02/12/2025,Pablinistan FC,Venta,Héctor Fort,LALIGA,1031472,Venta a LALIGA
02/12/2025,Vigar24,Blindaje,Ez Abde,-,0,Blindaje
02/12/2025,Vigar24,Blindaje,L. Milla,-,0,Blindaje
19/11/2025,Vigar24,Blindaje,L. Milla,-,0,Blindaje
26/11/2025,Vigar24,Blindaje,L. Milla,-,0,Blindaje
02/12/2025,Vigar24,Compra,Lamine Yamal,GOLENCIERRO FC,293944827,Compra a GOLENCIERRO FC
02/12/2025,Vigar24,Venta,Huijsen,LALIGA,62632414,Venta a LALIGA
02/12/2025,Visite La Manga FC,Compra,Ratiu,Pablinistan FC,29560224,Compra a Pablinistan FC
02/12/2025,Visite La Manga FC,Compra,Vini Jr.,Pablinistan FC,234063387,Compra a Pablinistan FC
03/09/2025,Alcatamy eSports By,Compra,Mouriño,LALIGA,18123021,Compra a LALIGA
03/10/2025,Visite La Manga FC,Compra,Azpilicueta,LALIGA,5309642,Compra a LALIGA
03/10/2025,Visite La Manga FC,Compra,Rodrygo,LALIGA,12648275,Compra a LALIGA
03/11/2025,Alcatamy eSports By,Compra,Huijsen,LALIGA,70115149,Compra a LALIGA
03/11/2025,Alcatamy eSports By,Venta,De Frutos,LALIGA,56348384,Venta a LALIGA
03/11/2025,Pablinistan FC,Compra,Álex Baena,Alcatamy eSports By,80000000,Compra a Alcatamy eSports By
03/11/2025,Pablinistan FC,Venta,Febas,LALIGA,8701463,Venta a LALIGA
03/11/2025,Pablinistan FC,Venta,O. Sancet,LALIGA,33789471,Venta a LALIGA
03/11/2025,Pablinistan FC,Venta,Rodrygo,LALIGA,9411417,Venta a LALIGA
03/11/2025,Vigar24,Venta,Kike Salas,LALIGA,2315148,Venta a LALIGA
04/09/2025,Alcatamy eSports By,Compra,Etta Eyong,LALIGA,20256321,Compra a LALIGA
04/09/2025,Alcatamy eSports By,Venta,Huijsen,LALIGA,103246322,Venta a LALIGA
04/09/2025,GOLENCIERRO FC,Compra,Buchanan,LALIGA,20000000,Compra a LALIGA
04/09/2025,Morenazos FC,Venta,Almeida,LALIGA,3624628,Venta a LALIGA
04/09/2025,Pablinistan FC,Compra,Boyomo,Alcatamy eSports By,14671700,Compra a Alcatamy eSports By
04/09/2025,Pablinistan FC,Compra,Rafa Marín,GOLENCIERRO FC,19839388,Compra a GOLENCIERRO FC
04/09/2025,Vigar24,Compra,Antony,LALIGA,78500011,Compra a LALIGA
04/09/2025,Vigar24,Compra,Pepe,Pablinistan FC,35176521,Compra a Pablinistan FC
04/09/2025,Vigar24,Venta,Tchouaméni,LALIGA,56105809,Venta a LALIGA
04/10/2025,Alcatamy eSports By,Compra,Fornals,Pablinistan FC,41299905,Compra a Pablinistan FC
04/10/2025,Alcatamy eSports By,Venta,Boyomo,LALIGA,23449730,Venta a LALIGA
04/10/2025,Alcatamy eSports By,Venta,Mouriño,LALIGA,31340701,Venta a LALIGA
04/10/2025,Alcatamy eSports By,Venta,Rafa Mir,LALIGA,20919179,Venta a LALIGA
04/10/2025,GOLENCIERRO FC,Compra,Víctor Muñoz,Pablinistan FC,9387902,Compra a Pablinistan FC
04/10/2025,Pablinistan FC,Compra,Danjuma,LALIGA,15300050,Compra a LALIGA
04/10/2025,Vigar24,Venta,Unai Lopez,LALIGA,2581630,Venta a LALIGA
04/10/2025,Visite La Manga FC,Compra,Moncayola,Morenazos FC,6177938,Compra a Morenazos FC
04/11/2025,Alcatamy eSports By,Compra,Foyth,LALIGA,18952922,Compra a LALIGA
04/11/2025,Alcatamy eSports By,Venta,Renato Veiga,LALIGA,13582105,Venta a LALIGA
04/11/2025,Alcatamy eSports By,Jornada,-,Premios,11400000,Jornada 11
04/11/2025,GOLENCIERRO FC,Jornada,-,Premios,7800000,Jornada 11
04/11/2025,Morenazos FC,Jornada,-,Premios,7100000,Jornada 11
04/11/2025,Pablinistan FC,Jornada,-,Premios,5700000,Jornada 11
04/11/2025,Vigar24,Jornada,-,Premios,11400000,Jornada 11
04/11/2025,Visite La Manga FC,Jornada,-,Premios,6600000,Jornada 11
06/10/2025,Visite La Manga FC,Jornada,-,Premios,6600000,Jornada 8
04/11/2025,Pablinistan FC,Once Ideal,-,Premios,100000,11 Ideal
22/09/2025,Pablinistan FC,Once Ideal,-,Premios,100000,11 Ideal
26/08/2025,Pablinistan FC,Once Ideal,-,Premios,100000,11 Ideal
28/10/2025,Pablinistan FC,Once Ideal,-,Premios,100000,11 Ideal
04/11/2025,Vigar24,Compra,Fermín,LALIGA,57400001,Compra a LALIGA
04/11/2025,Vigar24,Compra,M. Casadó,LALIGA,4400046,Compra a LALIGA
04/11/2025,Vigar24,Compra,Álex Balde,LALIGA,37401440,Compra a LALIGA
04/11/2025,Vigar24,Once Ideal,-,Premios,200000,11 Ideal
26/08/2025,Vigar24,Once Ideal,-,Premios,200000,11 Ideal
04/11/2025,Visite La Manga FC,Once Ideal,-,Premios,100000,11 Ideal
06/10/2025,Visite La Manga FC,Once Ideal,-,Premios,100000,11 Ideal
10/11/2025,Visite La Manga FC,Once Ideal,-,Premios,100000,11 Ideal
16/09/2025,Visite La Manga FC,Once Ideal,-,Premios,100000,11 Ideal
20/08/2025,Visite La Manga FC,Once Ideal,-,Premios,100000,11 Ideal
22/09/2025,Visite La Manga FC,Once Ideal,-,Premios,100000,11 Ideal
05/09/2025,GOLENCIERRO FC,Compra,Eder Sarabia,LALIGA,932159,Compra a LALIGA
05/09/2025,Morenazos FC,Compra,Hancko,LALIGA,25356496,Compra a LALIGA
05/10/2025,GOLENCIERRO FC,Blindaje,Cucho,-,0,Blindaje
05/10/2025,GOLENCIERRO FC,Compra,Alexis Sánchez,Alcatamy eSports By,4805015,Compra a Alcatamy eSports By
05/10/2025,Pablinistan FC,Venta,Cayetano,LALIGA,363836,Venta a LALIGA
05/10/2025,Vigar24,Compra,German V.,LALIGA,12219601,Compra a LALIGA
05/10/2025,Vigar24,Venta,Cardona,LALIGA,35984503,Venta a LALIGA
05/10/2025,Visite La Manga FC,Compra,Bellerín,LALIGA,15854906,Compra a LALIGA
05/11/2025,GOLENCIERRO FC,Compra,Comesaña,LALIGA,8000000,Compra a LALIGA
16/08/2025,GOLENCIERRO FC,Compra,Comesaña,LALIGA,8000000,Compra a LALIGA
05/11/2025,GOLENCIERRO FC,Compra,Isi,LALIGA,26000000,Compra a LALIGA
05/11/2025,GOLENCIERRO FC,Venta,Jauregizar,LALIGA,29246606,Venta a LALIGA
05/11/2025,Vigar24,Venta,Catena,LALIGA,50816215,Venta a LALIGA
05/11/2025,Vigar24,Venta,Sow,LALIGA,916020,Venta a LALIGA
05/11/2025,Visite La Manga FC,Blindaje,Danjuma,-,0,Blindaje
06/08/2025,Morenazos FC,Compra,Vini Jr.,LALIGA,108300000,Compra a LALIGA
06/08/2025,Visite La Manga FC,Venta,Comesaña,LALIGA,7263616,Venta a LALIGA
06/08/2025,Visite La Manga FC,Venta,Conor Gallagher,LALIGA,17777192,Venta a LALIGA
06/08/2025,Visite La Manga FC,Venta,Eric,LALIGA,13483559,Venta a LALIGA
06/08/2025,Visite La Manga FC,Venta,Ferran,LALIGA,19394486,Venta a LALIGA
06/08/2025,Visite La Manga FC,Venta,Gerard,LALIGA,21269858,Venta a LALIGA
06/08/2025,Visite La Manga FC,Venta,Gorosabel,LALIGA,6872724,Venta a LALIGA
06/09/2025,GOLENCIERRO FC,Compra,Areso,Alcatamy eSports By,14132115,Compra a Alcatamy eSports By
06/09/2025,GOLENCIERRO FC,Compra,Raphinha,Alcatamy eSports By,140031541,Compra a Alcatamy eSports By
06/09/2025,GOLENCIERRO FC,Venta,De Frutos,LALIGA,21943521,Venta a LALIGA
06/09/2025,GOLENCIERRO FC,Venta,Javi Guerra,LALIGA,23021409,Venta a LALIGA
06/09/2025,Morenazos FC,Venta,Odriozola,LALIGA,1061678,Venta a LALIGA
06/09/2025,Morenazos FC,Venta,Oskarsson,LALIGA,4479408,Venta a LALIGA
06/09/2025,Pablinistan FC,Venta,Barrenetxea,LALIGA,10500733,Venta a LALIGA
06/09/2025,Vigar24,Compra,Tenaglia,LALIGA,11382382,Compra a LALIGA
06/10/2025,Alcatamy eSports By,Compra,Riedel,LALIGA,1962198,Compra a LALIGA
06/10/2025,Alcatamy eSports By,Jornada,-,Premios,6400000,Jornada 8
06/10/2025,GOLENCIERRO FC,Jornada,-,Premios,5700000,Jornada 8
06/10/2025,Morenazos FC,Jornada,-,Premios,4200000,Jornada 8
06/10/2025,Pablinistan FC,Jornada,-,Premios,9700000,Jornada 8
06/10/2025,Vigar24,Jornada,-,Premios,6100000,Jornada 8
06/10/2025,Morenazos FC,Compra,Ilaix Moriba,LALIGA,8100000,Compra a LALIGA
06/10/2025,Morenazos FC,Compra,Kounde,LALIGA,52004308,Compra a LALIGA
06/10/2025,Morenazos FC,Once Ideal,-,Premios,100000,11 Ideal
26/09/2025,Morenazos FC,Once Ideal,-,Premios,100000,11 Ideal
28/10/2025,Morenazos FC,Once Ideal,-,Premios,100000,11 Ideal
06/10/2025,Pablinistan FC,Once Ideal,-,Premios,200000,11 Ideal
21/10/2025,Pablinistan FC,Once Ideal,-,Premios,200000,11 Ideal
06/10/2025,Vigar24,Compra,Lewandowski,LALIGA,81288800,Compra a LALIGA
06/10/2025,Vigar24,Once Ideal,-,Premios,100000,11 Ideal
21/10/2025,Vigar24,Once Ideal,-,Premios,100000,11 Ideal
22/09/2025,Vigar24,Once Ideal,-,Premios,100000,11 Ideal
25/11/2025,Vigar24,Once Ideal,-,Premios,100000,11 Ideal
06/11/2025,Alcatamy eSports By,Blindaje,Aarón,-,0,Blindaje
07/10/2025,Alcatamy eSports By,Blindaje,Aarón,-,0,Blindaje
18/09/2025,Alcatamy eSports By,Blindaje,Aarón,-,0,Blindaje
22/09/2025,Alcatamy eSports By,Blindaje,Aarón,-,0,Blindaje
30/09/2025,Alcatamy eSports By,Blindaje,Aarón,-,0,Blindaje
06/11/2025,Alcatamy eSports By,Compra,Camavinga,GOLENCIERRO FC,12000000,Compra a GOLENCIERRO FC
06/11/2025,Alcatamy eSports By,Compra,Giuliano,LALIGA,73670212,Compra a LALIGA
